Q1,Q2,U1,U2,U3,D1,D2,D3,sigma,k,alpha,eta,eps_u,eps_d,loss_total,loss_ckm,loss_mass,Vus,Vcb,Vub,mu,mc,md,ms,scale_u,scale_d
0,1,0,1,2,0,1,2,5.036849449048688,1.289301908922081,2.252710253059041,3.6989072362621256,0.10122166509971503,0.46063895719141085,3452.128353891831,2.5840926613926634,1522.9827833851443,0.053041601010568394,3.160014060081802e-16,1.5841217477873393e-16,1.9513364337690465e-14,13.28261464740376,8.061620130851275e-16,1.3487049611096615,59.112383539085606,1.3870707795909492
0,1,0,1,2,0,1,3,3.88644677145446,0.5536438182715271,3.1489753726946943,2.540352995913324,0.4306908911298036,0.2834327283581313,3469.4428683211045,2.3429805551459677,1521.9926428662225,0.09322978104187316,4.637533776706947e-16,2.6199425701299964e-16,3.286905532156361e-14,67.72721849907158,6.106063262350926e-16,1.012641455148615,60.10138491430691,1.5597767943739125
0,1,0,1,2,0,1,4,2.760324223527609,1.7613847974974663,2.7312065410807556,2.4126003184981544,0.10908492779021584,0.4245127230078941,3461.2012254241304,2.1525746247966717,1530.1612271431147,0.13711319564154617,1.3312619874322748e-15,2.4117148158243334e-16,1.6238629368489784e-14,10.280506810746072,8.087630453663008e-16,1.1397328967584988,62.2158451058464,1.6525947649629653
0,1,0,1,2,0,1,5,4.881237360192067,1.7759445008806767,1.9731458010592668,4.688520298060616,0.42261943840055527,0.33049034970279567,3464.5446246170254,2.8654410898913083,1535.8681553236293,0.01568455581167106,8.859014536860775e-16,2.9491208124624533e-16,1.2776494116128607e-14,18.642194142244332,8.96599649670217e-16,0.5032047576122087,53.62751512093146,1.6259203567804223
0,1,0,1,2,0,2,3,2.3946478313858583,1.0372396715769012,2.3332863902579293,4.070272991324007,0.026684870422477608,0.3700810039715847,3449.539156268079,2.0432479898867193,1518.4455092987591,0.17820866011728642,5.807902051165005e-16,1.1482028282753962e-16,2.0941369899573292e-14,11.151519803999763,7.626353050097948e-16,0.6410371973729192,63.76426264534981,1.7205716212873055
0,1,0,1,2,0,2,4,4.910422150511109,1.7231323011643713,5.624513550141064,3.8138366713156815,0.43660641984580206,0.16636524651317575,3483.577120860095,2.803682758884965,1532.7983004994373,0.023291200815239315,1.410998506676129e-15,1.2645985240255402e-16,1.9880675665409126e-14,40.07329576784077,6.712053672640057e-16,0.21599161854927607,53.173293700674755,1.422845365232858
0,1,0,1,2,0,2,5,4.310759517356658,0.8194992347428867,1.3837322428954872,4.107794493507488,0.43927431420865404,0.21309402592868165,3427.4856077106574,2.6327712548607467,1501.7008360561347,0.04601942905071602,3.0636553896028774e-16,2.1260393170338972e-16,3.37522679834986e-14,42.98325910074917,7.42669922851185e-16,0.3448651868916201,53.83176970239063,1.4725354989806418
0,1,0,1,2,0,3,4,4.892982788948224,0.9393917703120621,3.262358178170197,2.273233854234996,0.35078400300352286,0.3445851312967725,3433.8188196959895,2.2133252109982697,1524.101894340438,0.3289210700810663,5.109633120650027e-16,1.9837752788779296e-16,1.766999575857395e-14,53.39794234767533,9.606887283795334e-16,0.8745990369897646,59.33523661972594,1.6594434747407616
0,1,0,1,2,0,3,5,5.623454618848346,1.353604411110548,3.141214799473726,2.9436938013576928,0.45847961841483265,0.16880868167544283,3447.438759463093,2.027216572057821,1532.3041119867787,0.1878807467689107,3.1825607573799617e-16,2.1768317257232532e-16,1.5233635181494785e-14,71.25378048146028,9.375544614618504e-16,0.3775174180014526,58.744285027568424,1.6588613660389795
0,1,0,1,2,0,4,5,4.755737011702232,0.6840067125830507,3.285136802138574,1.7198052801576131,0.4841616180199714,0.4106679992545378,3473.984585134767,2.864660141651523,1537.054451472372,0.4342209828653186,8.290998832621795e-16,7.392436867521795e-16,1.77677486011838e-14,66.1472680481175,7.775271273371716e-16,0.7231665462248033,63.47215759987016,1.8678153349279107
0,1,0,1,2,1,2,3,4.498295282355876,1.6951500887963407,3.3629333486907957,3.0868693654276944,0.11462210675629875,0.47684555183061594,3480.2197100787425,2.7327717566036593,1543.83414032226,0.03239530073732487,6.42398279035269e-16,1.4038930925452028e-16,1.3003360314152374e-14,15.48580163096062,8.299177202700598e-16,1.6174710603982385,59.572690925001304,1.4374283290607053
0,1,0,1,2,1,2,4,3.8478800068773533,0.8008951714386587,4.641565576170057,2.5256604367073043,0.480502199046838,0.042803481582557534,3481.065931819131,2.3162563937984633,1537.2258188055612,0.09846747478987267,3.9722815418505963e-16,1.2608270574509382e-16,1.8824839880481185e-14,75.23180155359985,7.060518548453162e-16,0.20269810961488705,59.66878663495416,1.6390362650207524
0,1,0,1,2,1,2,5,3.9658396597175125,1.447809378913361,2.0764424183418715,4.60519138476481,0.22319889420018402,0.014182933509075485,3464.327448358068,2.864048881688138,1526.0051961321803,0.015852983202051776,3.2547289256961064e-15,4.2929115864678387e-16,1.7029093295819937e-14,14.682636409363674,7.749966876422758e-16,0.1792363114076006,58.28071516925268,1.6845107091073879
0,1,0,1,2,1,3,4,4.6187415603508,1.3219822350238133,6.125986389482829,4.074748524007134,0.2754596693135832,0.31133778591577843,3463.2011197191587,2.017238253659068,1533.317146502522,0.19545873070611153,3.2309532127494543e-16,1.1159955039672063e-16,1.601717529416307e-14,26.753761496178015,8.145308515325517e-16,0.7281011500324336,55.86000153644685,1.7006674916412474
0,1,0,1,2,1,3,5,5.239834767116297,1.2498649813628422,5.153959811653319,1.9369636225128528,0.07886711506085611,0.20448623923510895,3502.3627632394287,2.7477287295567496,1549.4473491960264,0.030439554549705174,2.0766705541384923e-15,6.315310947008886e-17,1.2258049452774233e-14,11.900166844062438,7.277590637126628e-16,0.7280587450702292,59.126955300586744,1.6341429114881034
0,1,0,1,2,1,4,5,4.737223406911587,0.9357041091028242,5.912049201240564,2.4307661244197662,0.43988212577690866,0.48123851297841896,3444.4311404274213,2.3655981226721,1527.8034218638054,0.3610455988273134,3.119099654189671e-16,2.4444060713675635e-16,1.9079728233424602e-14,70.85647094470518,8.954098878683386e-16,1.1502982745915578,58.31693867945415,1.7139868576327568
0,1,0,1,2,2,3,4,5.420514813658989,1.2018198600214667,2.600010215548018,3.361431016825016,0.293035026594925,0.11812877096979613,3471.478419965778,2.9827527008532,1514.926093247355,0.0019487604143362538,4.2067159744029052e-16,2.6059597522462254e-16,3.59406276754088e-14,43.71669978061394,5.697440959192843e-16,0.417163532410743,59.87050994008535,1.607674671959456
0,1,0,1,2,2,3,5,4.886207474591212,1.3785845800022603,6.083258205681569,1.6655194983220531,0.2662716800938969,0.3075614144446185,3498.680768246346,2.0100144351178004,1544.491711284584,0.2024837663485985,6.71896830126314e-16,1.5956265652435787e-16,1.7034334928547027e-14,26.212059739678516,6.501365009922593e-16,0.9478078773564094,53.856245060732746,1.7412422955918108
0,1,0,1,2,2,4,5,4.059207523440193,1.527201130197845,2.1724069111095954,3.122853651173232,0.31007937927213014,0.4416061342407507,3436.0658867469165,2.0757555919326363,1529.0548903606305,0.1630715990712062,4.698168288715765e-16,2.475814481328724e-16,1.5714251392521332e-14,46.6108259799031,1.0026598957074674e-15,1.4297435669375222,59.72711402873795,2.106858627913789
0,1,0,1,2,3,4,5,5.323379962298571,1.1834916697365134,2.832196863098958,2.8214817143806132,0.45266957429554283,0.48830949286942127,3462.6502110146207,2.3401860328466286,1530.2782402118764,0.09376769485807362,5.762312116437475e-16,6.516726551185847e-17,2.389450911111958e-14,71.98300853873846,7.433082791403411e-16,1.911922563370516,58.83716472278948,1.7614358581038578
